sample	shannon	simp_inv	simp_unb	pilou_even	richness
ERR1883419	5.1524458539964	22.17169348168865	22.25523621805062	0.7641312566986116	848
ERR1883420	5.522335852625155	33.849071506166524	34.026433734184664	0.814786633727875	878
ERR1883421	6.05877961780675	194.71220353969682	205.48792601065014	0.9091248150144581	784
ERR1883422	5.098183895167742	31.395528341530746	31.562314367029735	0.7804536123079062	687
ERR1883423	5.600689644904861	99.37157398298892	99.66310857339685	0.8264862194061258	877
ERR1883424	6.121393604189483	183.92540410403893	187.80237333702868	0.9064114719011841	857
ERR1883430	6.147025744781236	226.34899643154847	231.6591541138821	0.8979160979718683	940
ERR1883436	5.888493249688931	107.23432986507142	107.64011683175224	0.8575142652125497	960
ERR1883438	6.2668516425834255	321.6779277439487	325.99379798413486	0.918890997834558	916
JAE006.A0101	2.856914794726066	9.933928904757462	9.933930559896218	0.5185538974866748	247
JAE007.A0101	2.958071262979742	11.624014084442559	11.624017165500614	0.5470644151888969	223
JAE008.A0101	3.139568514067054	7.663699990110294	7.663701687897928	0.5061750159055046	494
JAE009.A0101	3.28031033579079	12.297101133403322	12.2971056133759	0.5385229777001432	442
JAE010.A0101	3.3565820797121835	18.166291230108627	18.16630165594158	0.6106020303814067	244
JAE012.A0101	3.0108369115233824	8.897654007758462	8.897656074920231	0.5303800404943281	292
JAE013.A0101	3.387010258651398	17.641394276837275	17.641408308849396	0.6184666850301274	239
JAE014.A0101	3.604602494337221	14.688200483853203	14.688209084237354	0.5483385870298305	716
JAE015.A0101	2.8770469898990516	7.700769884297172	7.700772299911639	0.4555635625415901	553
JAE016.A0101	2.9325156419083727	8.419040670570446	8.419042776840453	0.465285249385043	546
SRR059389	1.355506741315061	2.7325225174619794	2.7325227369783187	0.34141236232232675	53
SRR059425	2.6870100620262063	8.053280391832821	8.05328623747998	0.4825509736711307	262
SRR059455	2.438864048712287	7.399933836910581	7.399938626456177	0.45411067287335605	215
SRR059917	2.228103432248717	5.846685830954113	5.846688185393809	0.46957540634354544	115
SRR060358	1.4733488020758887	2.9384776487871753	2.9384780281288156	0.35294971616582277	65
SRR1631060	2.4136238238524563	2.412982622419243	2.412983102712546	0.3556393822549599	886
SRR1631061	2.4114513664900015	2.410721160434722	2.4107216268541434	0.35543763402527656	884
SRR1631063	2.4238577716538026	2.4221684045768557	2.422168834441134	0.35696952305431223	889
SRR1631064	2.428260684534539	2.427351146468271	2.427351576484406	0.35779607462751833	886
SRR1633008	2.7061284255826425	3.585411147492136	3.585413093784749	0.4176095395211378	652
SRR1761677	2.801430824292853	7.924563045199248	7.92458441940391	0.49811915080470875	277
SRR1761682	3.254383026760297	13.606633630630999	13.606904702504538	0.6322266184877806	172
SRR1761688	2.7251440298189378	8.131672859340581	8.131690354198971	0.5282253962724228	174
SRR1761692	3.0343623881981006	9.179429696755975	9.179516694655849	0.5430870494077678	267
SRR1761697	2.8229726777335693	7.27723519628889	7.2772525679791125	0.48120481528868697	353
SRR1761698	1.6159469178663781	2.5380093829798427	2.5380103321432594	0.2991011314664836	222
SRR1761705	1.869965913354425	3.363708049698074	3.3637096702881357	0.31784182301709857	359
SRR1761710	1.9036568565417813	2.9044300248238275	2.90443180173417	0.3345407037678801	296
SRR1761718	0.9946911657587333	1.353618109220063	1.3536182403077814	0.1712580515155513	333
SRR1761721	1.5907344600065227	1.8372925970912297	1.8372933704434309	0.2644103898519634	410
SRR1929408	1.434103463067411	1.9796712989524072	1.9796715661322484	0.2383753324587877	410
SRR1930121	2.366710575618625	3.053556574392969	3.053558248361666	0.3661038359190973	642
SRR1930123	1.9154507143115769	2.1638619275553976	2.1638623564673827	0.2994328244253384	600
SRR1930141	1.772231600300724	1.9837557796011975	1.9837561159413046	0.27990698610164355	562
SRR1930145	1.714157857966496	2.1477322955116014	2.1477333018526603	0.2827963443266786	429
SRR3184100	2.4971171691720953	3.1491828544282896	3.149183838996311	0.3943957102711773	562
SRR3184876	0.7292111708985872	1.2490517286011351	1.2490517412536895	0.12400426501899715	358
SRR3189411	0.9880099297159199	1.340107430090046	1.3401074647203062	0.15798480570609338	520
SRR3189416	0.98454950030287125	1.3370600562510138	1.337060093053551	0.15743147597525015	520
SRR3189418	0.9816737692761136	1.335362955704012	1.3353629957822442	0.15654211133430707	529
SRR5975923	1.5683572052766825	2.6491835080255495	2.64918489373445	0.39317209268548314	54
SRR5975924	1.584421956550519	2.6890027013987248	2.68900394986073	0.3990693860928165	53
SRR5975925	1.5706862109655653	2.658289483503334	2.6582908591128658	0.3956097549412459	53
SRR5975926	1.6166966898512853	2.797416972717164	2.7974186061377364	0.4071984441075686	53
SRR5975927	1.6964971292265174	3.066688527002494	3.066690854898408	0.4214531448596697	56
SRR5975928	1.6474732164913715	2.865507025409721	2.865508531763473	0.40748264302217335	57
SRR5975929	1.5677038353978365	2.6461856185763093	2.646186903538782	0.3930082991302272	54
SRR5975930	1.624236922492698	2.8185121480940234	2.8185131170377002	0.4053161659924401	55
SRR5975931	1.7584426374898796	3.3436218801716904	3.343624603330919	0.43684198862354195	56
SRR5975932	1.6967289438291167	3.0525081931868	3.0525100199357564	0.4196654534974228	57
SRR5975933	1.6072117116112685	2.7523445596091114	2.7523462581908253	0.4067609659341106	52
SRR5975934	1.6042285841042117	2.740878185192724	2.7408793173021575	0.40600598149894956	52
SRR5975936	1.9157008926036656	4.738056408565159	4.738080232398375	0.4509128017004871	70
SRR5975937	2.1936465105142813	6.541091284553905	6.541133640821889	0.4899444918731071	88
