	SYN001.A0101	SYN002.A0101	SYN003.A0101	SYN014.A0101	SYN014.C0101	SYN015.B0101	SYN015.D0101	SYN015.E0101	SYN015.F0101	SYN015.G0101	SYN015.H0101	SYN017.A0101	SYN017.B0101	SYN017.D0101	SYN017.E0101	SYN017.F0101	SYN017.G0101	SYN018.C0101	SYN018.H0101	SYN005.I0101	SYN006.I0101	SYN008.I0101	SYN009.I0101	SYN012.I0101	SYN013.I0101	SYN015.I0101	SYN016.I0101	SYN018.I0101	SYN019.I0101	SYN021.I0101	SYN022.I0101	SYN023.I0101	SYN025.I0101	SYN026.I0101	SYN028.I0101
indoor_air	0.0006512296062065975	0.0003001666203960727	6e-05	0.00036110940170535597	0.000368917334913935	0.00028565713714171414	0.00033526109228480366	0.00032496153618543906	0.00038522720568516343	0.00043999999999999953	0.00052306787322488	7.810249675906654e-05	0.00016613247725836153	0.00045836666545463257	0.0004955804677345541	0.0004199999999999993	0.0004940647730814254	0.00032015621187164245	0.00047791212581394047	0.0004673328578219172	0.0002905167809266781	0.00028089143810376254	0.0006606057825965493	0.0005827520913733392	0.0008295179322956203	0.0005371219600798317	0.0005238320341483515	0.0006410148204214935	0.0003789459064299292	0.0005060632371552002	0.00037161808352124064	0.00024083189157584597	0.0005496362433464521	0.0006723838189605712	0.0003377869150810904
modern calculus	0.0004753945729601884	0.0004049691346263317	0.00042614551505325033	0.00014177446878757823	6.403124237432849e-05	0.0001469693845669907	8.999999999999999e-05	7.000000000000001e-05	8.999999999999999e-05	0.0001624807680927192	2.999999999999999e-05	0.0002624880949681338	0.00013564659966250537	0.0001	0.00010770329614269009	0.00015132745950421556	4e-05	0.0001469693845669907	4e-05	0.00015999999999999999	0.00016401219466856724	6.633249580710799e-05	0.0003124099870362662	0.0002821347195933177	0.00014866068747318504	0.0001562049935181331	0.00053	7.999999999999999e-05	0.00015362291495737217	0.00010049875621120891	0.00013601470508735442	0.00031304951684997057	0.00014	0.00012489995996796798	0.00024269322199023196
plaque	0.00048826222462934816	0.0008158431221748457	0.0006527633568147034	0.0002692582403567252	0.00016733200530681512	0.00021931712199461308	0.000433589667773576	0.00133566462856512	0.00071442284397967	0.0002315167380558045	0.0003008321791298265	0.001193984924527944	0.001078702924812944	0.0005491812087098392	0.0011798728745080972	0.0005008991914547278	0.0002959729717389748	0.0010377379245262264	0.0005403702434442517	0.001851512894905137	0.0010387011119662865	0.0002655183609470351	0.0018021098745637017	0.0013972830779766855	0.0007376313442364011	0.0014862368586466964	0.0007647875521999556	0.0011391224692718503	0.0007533923280734943	0.000794732659452221	0.0027411676344215067	0.0020035218990567586	0.00266263027850282	0.0012491597175701753	0.0023495531490051458
saliva	0.0008176184929415452	0.0007889233169326399	0.0007642643521714188	0.00031	0.000424735211631906	0.0002939387691339811	0.0004980963762164925	0.001269015366337224	0.0009047098982546838	0.0003471310991541957	0.00041484937025383086	0.0010517128885774861	0.0010761505470890202	0.0008958236433584461	0.001046183540302561	0.0006007495318350235	0.00044328320518603005	0.0010186265262597477	0.0005953150426454887	0.002038259061061669	0.0008299999999999992	0.00035552777669262397	0.0020344286667268526	0.000766811580507232	0.001043839068055991	0.0016304600577751057	0.0013075167302944923	0.0016765738874263791	0.0006148170459575763	0.0012059850745345059	0.0028164516683231054	0.001921041384249699	0.002518749689826284	0.0015996562130657951	0.002469190150636439
sediment	0.00012	3.9999999999999996e-05	0.00011135528725660044	8.306623862918073e-05	0.00010049875621120889	0.00012206555615733704	0.00012806248474865695	0.00011661903789690601	0.00018	0.00014177446878757826	0.0002	7.000000000000002e-05	9.797958971132714e-05	7.810249675906654e-05	0.00016733200530681512	0.0001135781669160055	0.00023579652245103193	0.00012206555615733703	0.0002981610303175115	0.00012206555615733703	9.219544457292887e-05	0.00021	0.00024413111231467405	0.00010246950765959597	9.797958971132711e-05	6.633249580710799e-05	0.00011	6.708203932499369e-05	8.999999999999999e-05	4.898979485566355e-05	0.00010246950765959599	6.324555320336759e-05	0.00018466185312619387	8.06225774829855e-05	8.306623862918074e-05
skin	0.000285657137141714	0.00022383029285599388	0.00011135528725660044	6e-05	0.0001445683229480096	7.810249675906654e-05	0.00013416407864998739	0.00021	0.00015524174696260025	9.219544457292888e-05	8.717797887081348e-05	0.00011357816691600547	0.00014282856857085702	0.00012489995996796798	0.00020396078054371136	9.219544457292888e-05	8.999999999999999e-05	9.433981132056605e-05	0.000132664991614216	0.00014966629547095766	0.0001345362404707371	0.00045210618221829256	0.0004124318125460256	0.00014456832294800962	0.00017	0.00019209372712298547	0.00025612496949731396	9.165151389911679e-05	0.00015362291495737217	0.00011135528725660043	0.00010246950765959599	0.00024494897427831784	0.00036660605559646716	0.000132664991614216	0.00020223748416156684
stool	4.898979485566357e-05	8.717797887081346e-05	0.0	7.745966692414833e-05	0.00024819347291981714	9.433981132056602e-05	0.00028301943396169814	0.0002749545416973504	0.0002932575659723036	6.403124237432849e-05	4.58257569495584e-05	6e-05	7.483314773547882e-05	0.00019621416870348592	0.00020024984394500782	0.00011661903789690601	8.944271909999159e-05	5e-05	9.797958971132714e-05	0.00015491933384829672	0.00016	0.00011135528725660043	0.00012041594578792295	0.00014966629547095766	0.0001374772708486752	0.00019899748742132397	0.00015362291495737217	0.0	0.00010440306508910553	7e-05	8.717797887081349e-05	0.00014832396974191324	0.00012	8.999999999999999e-05	0.00012000000000000003
Unknown	0.00016852299546352717	0.0002683281572999747	0.00014966629547095766	0.00013564659966250537	0.0002828427124746189	0.00017776388834631177	0.0002165640782770771	0.0003800000000000002	0.00023345235059857468	0.00040199502484483505	0.0003555277766926231	0.00017578395831246938	0.0002773084924772408	0.00027568097504180445	0.00024515301344262545	0.0003138470965295052	0.00038587562763149483	0.0003726929030716842	0.0003112876483254685	0.00046054315758677826	0.0002547547840571399	0.0005539855593785813	0.0004253234063627349	0.0003555277766926234	0.00039255572852780985	0.0003263433774416144	0.0003226453160980331	0.0005657738063926251	0.0003954743986657039	0.0001951922129594314	0.00016248076809271907	0.0006309516621738942	0.0002879236009777594	0.0002683281572999749	0.0002941088233970547
