0.227	0.002	0.001	0.004	0.03	0.007	0.729
0.239	0.005	0.0	0.005	0.021	0.002	0.728
0.29	0.004	0.0	0.002	0.038	0.002	0.664
0.233	0.003	0.0	0.006	0.052	0.003	0.703
0.252	0.003	0.001	0.009	0.017	0.005	0.713
0.23	0.004	0.0	0.003	0.019	0.014	0.73
0.245	0.002	0.0	0.003	0.055	0.001	0.694
0.244	0.001	0.0	0.003	0.037	0.009	0.706
0.236	0.0	0.003	0.006	0.042	0.001	0.712
0.253	0.003	0.001	0.006	0.032	0.005	0.7
