SampleID	calculus	medium	saliva	subgingival_plaque	supragingival_plaque	Unknown
ERR1883422	0.0	0.0	0.0	0.0	0.0	0.0
SRR1761697	0.0004	0.000458257569495584	0.0003	0.0	0.0	0.0006633249580710807
SRR1761688	0.0	0.0	0.0006403124237432849	0.00030000000000000003	0.0005	0.0005385164807134509
SRR1761682	0.000670820393249937	0.0004	0.0	0.0003	0.0	0.0007483314773547889
SRR1631061	0.0011874342087037917	0.001345362404707371	0.002467792535850613	0.0017204650534085252	0.0024515301344262526	0.0032619012860600205
SRR059917	0.00030000000000000003	0.000458257569495584	0.0	0.0004	0.0	0.0004898979485566361
SRR1930123	0.001044030650891055	0.0015524174696260023	0.0019209372712298547	0.0013564659966250536	0.00066332495807108	0.0026095976701399804
SRR1761698	0.00045825756949558405	0.0013564659966250536	0.0005	0.0008	0.000458257569495584	0.0014177446878757838
SRR1929408	0.001284523257866513	0.0010954451150103322	0.001746424919657298	0.0011357816691600546	0.0008306623862918075	0.0018867962264113225
ERR1883424	0.00030000000000000003	0.00030000000000000003	0.0004898979485566357	0.0	0.0	0.0004898979485566361
SRR3189416	0.0011661903789690602	0.0017464249196572981	0.002181742422927143	0.004369210454990695	0.004337049688440288	0.0036345563690772307
SRR059425	0.0008306623862918075	0.0007745966692414833	0.0006000000000000001	0.0007483314773547883	0.0009797958971132711	0.0014177446878757838
SRR1930121	0.0017916472867168917	0.0010770329614269007	0.0015132745950421557	0.0017000000000000001	0.0004	0.0017916472867168932
SRR1633008	0.001268857754044952	0.001044030650891055	0.0024	0.002022374841615668	0.0021999999999999997	0.002879236009777596
SRR1631063	0.0011	0.0015362291495737217	0.003720215047547655	0.0010999999999999998	0.0025317977802344323	0.0028089143810376303
SRR059455	0.0	0.0004	0.0004898979485566357	0.000670820393249937	0.0	0.0007000000000000005
ERR1883436	0.00030000000000000003	0.0003	0.0004	0.0	0.00030000000000000003	0.0006708203932499375
ERR1883438	0.0	0.0	0.0	0.0	0.0	0.0
ERR1883421	0.0003	0.0	0.00066332495807108	0.0004	0.0	0.001044030650891056
ERR1883423	0.0	0.0	0.000458257569495584	0.0	0.0	0.00045825756949558437
SRR1631064	0.001004987562112089	0.0014317821063276352	0.002578759391645525	0.0018466185312619387	0.002009975124224178	0.0024494897427831805
SRR1930145	0.0012688577540449523	0.0005385164807134503	0.0008306623862918075	0.0017320508075688774	0.000458257569495584	0.0019899748742132416
SRR1930141	0.000670820393249937	0.0016155494421403514	0.0010999999999999998	0.002009975124224178	0.0009433981132056605	0.0034985711369071833
SRR1761710	0.0010770329614269009	0.0018000000000000002	0.0016763054614240213	0.0011357816691600548	0.0017888543819998318	0.0030000000000000027
SRR3184100	0.0023853720883753125	0.0013	0.003726929030716845	0.002830194339616981	0.006928924880528003	0.006197580172938473
SRR1631060	0.0014966629547095765	0.0019209372712298547	0.005607138307550474	0.00208806130178211	0.001777638883463118	0.004544227107000709
SRR3189411	0.0020124611797498106	0.002244994432064365	0.002913760456866693	0.0037094473981982815	0.007291090453423273	0.005455272678794347
SRR3189418	0.0029257477676655585	0.002247220505424423	0.0028442925306655783	0.003263433774416144	0.00611228271597445	0.005499999999999986
ERR1883430	0.0003	0.0	0.0	0.0	0.0	0.0003000000000000003
ERR1883419	0.0	0.0	0.0008	0.0	0.0004	0.0007483314773547889
SRR060358	0.0	0.0	0.0	0.0	0.0	0.0
ERR1883420	0.0003	0.0	0.00066332495807108	0.00030000000000000003	0.00030000000000000003	0.0008306623862918082
SRR1761692	0.0006403124237432849	0.0011661903789690602	0.001676305461424021	0.00030000000000000003	0.0	0.001552417469626004
SRR1761677	0.0004898979485566356	0.0009433981132056604	0.000670820393249937	0.0	0.0	0.0010770329614269018
SRR3184876	0.00066332495807108	0.0009219544457292887	0.0011357816691600546	0.0009433981132056605	0.0015491933384829666	0.0017000000000000014
SRR1761718	0.0009219544457292888	0.00066332495807108	0.0008717797887081347	0.0007483314773547883	0.0005	0.0006633249580710806
SRR1761705	0.0022715633383201092	0.0025475478405713996	0.0023685438564654024	0.0015362291495737217	0.0008944271909999159	0.005314132102234573
SRR059389	0.0	0.0	0.0	0.00030000000000000003	0.0	0.0003000000000000003
SRR1761721	0.0006324555320336759	0.0006633249580710801	0.0009797958971132711	0.001019803902718557	0.0006403124237432849	0.0018574175621006727
