SampleID	saliva	sediment	skin	stool	subgingival_plaque	supragingival_plaque	Unknown
SYN002.A0101	0.0015195064988343617	0.00023259406699226016	0.00028565713714171403	0.00015132745950421556	0.0014727185746095553	0.002590077218926109	0.0002578759391645527
SYN028.I0101	0.006815981220631406	0.0004449719092257397	0.00020099751242241783	0.00046572524088780087	0.00659227578306613	0.0005692099788303082	0.0014770240350109383
SYN014.A0101	0.0020120636172845	8.717797887081348e-05	6.403124237432849e-05	2.9999999999999997e-05	0.0005557877292636102	0.0004166533331199932	0.0019325889371513967
SYN015.G0101	0.0006356886030125128	0.00031304951684997057	6.403124237432849e-05	4e-05	0.0005407402333838311	0.00021354156504062622	0.0006678323142825695
SYN021.I0101	0.003569369692256603	0.00021656407827707713	5.000000000000001e-05	0.00010440306508910547	0.0008099999999999998	0.00047843494855622745	0.0031446621440148347
SYN017.D0101	0.004788538399136004	0.00013564659966250537	8.06225774829855e-05	0.0005912698199637794	0.004682574078431649	0.00029597297173897485	0.0038044841963135955
SYN018.H0101	0.0013424231821597837	0.00019209372712298542	7.999999999999999e-05	4.58257569495584e-05	0.0004846648326421054	0.00024269322199023196	0.0015218738449687735
SYN008.I0101	0.004739367046347008	0.000585576638878294	6.403124237432849e-05	0.00018439088914585776	0.0011640017182117902	0.00034481879299133334	0.005125192679304839
SYN015.I0101	0.007977148613383117	0.00012688577540449517	0.0001676305461424021	0.00041097445176069037	0.006662919780396572	0.00016852299546352714	0.0021128416883429697
SYN003.A0101	0.002469493875270805	0.00019519221295943135	0.00038418745424597094	8.999999999999999e-05	0.001743444865775801	0.0036039006645577783	0.0007321885003194192
SYN017.G0101	0.0007130217387990352	0.0003645545226711637	0.00011357816691600545	4.582575694955841e-05	0.0009143303560529969	0.00043863424398922615	0.0010854031509075336
SYN014.C0101	0.0015920113064925147	0.00010246950765959597	7.483314773547883e-05	0.00015652475842498528	0.00023853720883753126	0.00015362291495737217	0.0015226293048539543
SYN018.I0101	0.0029512031444819255	0.00012649110640673518	8.306623862918074e-05	8.306623862918073e-05	0.0021632383132701768	0.0004381780460041329	0.004370583485073841
SYN015.B0101	0.001623453109886452	8.717797887081348e-05	0.00011000000000000002	0.00016401219466856724	0.000285657137141714	0.00018867962264113207	0.0016809521111560463
SYN017.E0101	0.00400849098789058	0.00015362291495737217	0.00012806248474865698	0.000810925397308532	0.005944081089621843	0.00029257477676655584	0.004562247253273329
SYN006.I0101	0.0035569790553220855	0.00029137604568666933	0.0001624807680927192	0.00028017851452243796	0.0016881943016134133	0.00039000000000000005	0.0028575513993627506
SYN019.I0101	0.003913323395785225	4e-05	8.306623862918074e-05	0.0004172529209005013	0.0035401129925469897	0.0002467792535850613	0.0023100649341522826
SYN005.I0101	0.005887444267252128	0.0003072458299147444	0.00011357816691600545	0.00034985711369071805	0.008230072903686818	0.00064	0.00888540376122549
SYN018.C0101	0.0038390754095224515	9.433981132056603e-05	7.810249675906654e-05	0.00012806248474865695	0.002914463930125058	0.000952102935611481	0.0013229134514396632
SYN015.H0101	0.0013799999999999997	0.000535163526410386	0.00019390719429665317	8e-05	0.0007952986860293433	0.0001777638883463118	0.0016108693305169112
SYN013.I0101	0.0036169185780163746	0.00019390719429665315	0.000116619037896906	0.00010770329614269009	0.0005728001396647874	0.00017349351572897473	0.0035959560620230017
SYN015.D0101	0.0019089525923919508	0.00010770329614269009	4e-05	0.0005200000000000003	0.0006090155991434047	0.00016613247725836148	0.0016321764610482514
SYN017.F0101	0.0015854336946085133	0.0002609597670139978	0.00014832396974191327	0.00022912878474779202	0.002384868969146942	0.00033704599092705434	0.0017024687956024515
SYN023.I0101	0.007168653988023133	0.0005314132102234568	0.00013416407864998736	0.000584807660688538	0.006669152869742895	0.0002835489375751565	0.002040490137197438
SYN016.I0101	0.0016954055562018193	0.00014177446878757823	0.0001562049935181331	0.000157797338380595	0.0009022749026765622	0.0001907878402833891	0.0019033917095542816
SYN009.I0101	0.0055138824797052064	0.00022000000000000003	0.0001549193338482967	0.0004887739763939975	0.0055679798850211465	0.0005123475382979799	0.0024804233509624885
SYN001.A0101	0.006498345943392052	0.000272213151776324	0.00018973665961010276	9.165151389911682e-05	0.0017635475610257862	0.0030624173458233964	0.005627832620112291
SYN025.I0101	0.0048847620208153485	0.0004335896677735761	0.00016613247725836148	0.0004712748667179272	0.004433508768458664	0.0004317406628984581	0.001617281669963516
SYN012.I0101	0.009164256652887894	0.00017776388834631177	0.00017349351572897473	0.00021931712199461308	0.006006163500938013	0.00048620983124572864	0.005680316892568576
SYN015.E0101	0.004595965622151675	0.00011135528725660044	8.717797887081348e-05	0.000538887743412299	0.003614083562952024	0.0003269556544854363	0.002529347742007811
SYN026.I0101	0.00939086790451234	0.00022360679774997898	0.00016	0.00014866068747318507	0.024314623172074862	0.00041964270516714567	0.03123962387737728
SYN015.F0101	0.004086367580137643	0.00032326459750489227	7.483314773547883e-05	0.0003440930106817051	0.0021415881957089693	0.0004340506882842141	0.0038640522770790656
SYN017.B0101	0.0015199013125857766	0.0001496662954709577	0.000132664991614216	0.00018466185312619387	0.0013907192383799114	0.0006252199612936234	0.0003292415526630849
SYN022.I0101	0.00621742712060221	0.00024576411454889005	8.717797887081348e-05	0.00035791060336346555	0.006551915750374089	0.0006690291473471093	0.0009246080250570974
SYN017.A0101	0.0015949921629901677	0.00018466185312619387	0.00016613247725836148	0.0001676305461424021	0.0011043550153822823	0.0010716809226630848	0.0005142956348249523
