freq	prev	p.freq	p.prev	p	contaminant
1.3668557856181678e-4	20	NA	0.021654071405395985	0.021654071405395985	TRUE
6.041669206794059e-4	30	NA	0.021909896401337413	0.021909896401337413	TRUE
5.9901754349220785e-5	30	NA	0.06528500905786812	0.06528500905786812	TRUE
1.1223936450144506e-6	5	NA	0.007006539729293791	0.007006539729293791	TRUE
4.1031422647249766e-5	13	NA	0.009813697629157084	0.009813697629157084	TRUE
2.4074565764495816e-6	5	NA	0.007006539729293791	0.007006539729293791	TRUE
2.7321525348477e-5	9	NA	0.0038882970610302284	0.0038882970610302284	TRUE
5.971691746533611e-6	12	NA	0.005340960099299311	0.005340960099299311	TRUE
2.2386228034739985e-5	9	NA	0.0038882970610302284	0.0038882970610302284	TRUE
4.996174817370332e-6	13	NA	0.009813697629157084	0.009813697629157084	TRUE
2.3947819773342246e-5	33	NA	0.018428547887539577	0.018428547887539577	TRUE
1.1109643991303531e-5	13	NA	0.009813697629157084	0.009813697629157084	TRUE
4.830169585421561e-5	10	NA	9.573353969610031e-5	9.573353969610031e-5	TRUE
1.0667724843380087e-5	16	NA	0.010343140253677326	0.010343140253677326	TRUE
7.795347327681004e-6	10	NA	9.573353969610031e-5	9.573353969610031e-5	TRUE
2.376928888211937e-5	13	NA	0.0016947066782197718	0.0016947066782197718	TRUE
2.0602810994604728e-5	13	NA	0.0413377973819298	0.0413377973819298	TRUE
1.3645048928821609e-5	7	NA	4.449116320083019e-4	4.449116320083019e-4	TRUE
4.343120073598091e-5	12	NA	0.026264648286853993	0.026264648286853993	TRUE
2.2261480459192982e-5	19	NA	0.03656885320034923	0.03656885320034923	TRUE
9.219084323755228e-6	28	NA	0.09924574478464576	0.09924574478464576	TRUE
1.1787706994625398e-5	15	NA	0.006106234714668229	0.006106234714668229	TRUE
1.0157764793359559e-4	13	NA	0.009813697629157084	0.009813697629157084	TRUE
1.2750381273755115e-6	5	NA	0.007006539729293791	0.007006539729293791	TRUE
3.2883570242302614e-6	16	NA	0.03955163473494536	0.03955163473494536	TRUE
1.3731711245244078e-4	8	NA	0.0015200361424047549	0.0015200361424047549	TRUE
2.6069403134767327e-4	26	NA	0.01760250165846421	0.01760250165846421	TRUE
0.002268783061526447	34	NA	0.07179598195763877	0.07179598195763877	TRUE
1.1754449057402304e-4	36	NA	8.820571509632525e-4	8.820571509632525e-4	TRUE
4.6111927021707735e-5	15	NA	0.026349227845489584	0.026349227845489584	TRUE
1.64262863102511e-5	11	NA	0.064032944721426	0.064032944721426	TRUE
2.019971238743166e-5	18	NA	0.0781217881218583	0.0781217881218583	TRUE
1.4864383394504257e-5	15	NA	0.026349227845489584	0.026349227845489584	TRUE
1.5503365412275735e-5	15	NA	0.026349227845489584	0.026349227845489584	TRUE
1.414576772055541e-5	12	NA	0.005340960099299311	0.005340960099299311	TRUE
1.6687728776126043e-5	25	NA	0.011705298080558351	0.011705298080558351	TRUE
2.9831248920498315e-5	22	NA	0.012874428706579037	0.012874428706579037	TRUE
6.538817816534333e-6	15	NA	0.006106234714668229	0.006106234714668229	TRUE
1.9202419779880422e-4	31	NA	0.030567713974318414	0.030567713974318414	TRUE
4.657545296511651e-5	35	NA	0.034709537499681954	0.034709537499681954	TRUE
3.331693355358217e-5	35	NA	0.0915121784756896	0.0915121784756896	TRUE
1.4546896566115352e-5	21	NA	0.03268489464664166	0.03268489464664166	TRUE
2.1110568548154804e-5	24	NA	0.029206656732194164	0.029206656732194164	TRUE
5.0074008688338916e-5	28	NA	0.03591407816048411	0.03591407816048411	TRUE
1.7058906471397694e-5	25	NA	0.04151821968877912	0.04151821968877912	TRUE
1.8165254411703225e-5	14	NA	0.0033594099642574723	0.0033594099642574723	TRUE
4.217758204076134e-6	11	NA	0.015473706448404883	0.015473706448404883	TRUE
7.831227576542324e-5	24	NA	0.029206656732194164	0.029206656732194164	TRUE
1.1992200927535462e-4	20	NA	8.744329627104652e-5	8.744329627104652e-5	TRUE
1.1974478498986735e-5	17	NA	0.0037165303207085726	0.0037165303207085726	TRUE
2.1006858897704724e-5	33	NA	0.055221644297743074	0.055221644297743074	TRUE
6.159941110799565e-6	18	NA	0.00630799212128768	0.00630799212128768	TRUE
7.128220001908298e-4	28	NA	0.002335452871484995	0.002335452871484995	TRUE
2.6394550126991975e-6	10	NA	0.0011199970924140688	0.0011199970924140688	TRUE
1.2184677139654558e-5	16	NA	0.0020576360885039215	0.0020576360885039215	TRUE
2.4081257852295376e-6	7	NA	0.036751044231548374	0.036751044231548374	TRUE
2.795051489521198e-5	17	NA	6.372639459028564e-4	6.372639459028564e-4	TRUE
3.8110236230398235e-6	11	NA	0.064032944721426	0.064032944721426	TRUE
1.0193080485635052e-5	16	NA	0.03955163473494536	0.03955163473494536	TRUE
2.6405646172626046e-5	15	NA	0.026349227845489584	0.026349227845489584	TRUE
6.263919504290408e-5	11	NA	0.015473706448404883	0.015473706448404883	TRUE
2.8758889510962756e-6	11	NA	0.064032944721426	0.064032944721426	TRUE
5.274496950069036e-6	16	NA	0.03955163473494536	0.03955163473494536	TRUE
5.8893823560612395e-6	9	NA	0.0038882970610302284	0.0038882970610302284	TRUE
7.619136804419056e-6	8	NA	0.0015200361424047549	0.0015200361424047549	TRUE
4.421673444192409e-6	7	NA	4.449116320083019e-4	4.449116320083019e-4	TRUE
1.1807337199090206e-5	13	NA	0.009813697629157084	0.009813697629157084	TRUE
1.0479755097249943e-5	14	NA	0.06122565028238604	0.06122565028238604	TRUE
1.1908764611832582e-5	14	NA	0.06122565028238604	0.06122565028238604	TRUE
