species	ERR1883419	ERR1883420	ERR1883421	ERR1883422	ERR1883423	ERR1883424	ERR1883430	ERR1883436	ERR1883438	SRR059389	SRR059425	SRR059455	SRR059917	SRR060358	SRR1631060	SRR1631061	SRR1631063	SRR1631064	SRR1633008	SRR1761677	SRR1761682	SRR1761688	SRR1761692	SRR1761697	SRR1761698	SRR1761705	SRR1761710	SRR1761718	SRR1761721	SRR1929408	SRR1930121	SRR1930123	SRR1930141	SRR1930145	SRR3184100	SRR3184876	SRR3189411	SRR3189416	SRR3189418	SRS013942	SRS013950	SRS014107	SRS014468	SRS014477	SRS014691	SRS014692	SRS015055	SRS015064	SRS015378	SRS015755	SRS019029	SRS019120	SRS019129	SRS019333	SRS021960	SRS022149	SRS045313	SRS047265	SRS051378	SRS052604	SRS063215	SRS064493	SYN001.A0101	SYN002.A0101	SYN003.A0101	SYN005.I0101	SYN006.I0101	SYN008.I0101	SYN009.I0101	SYN012.I0101	SYN013.I0101	SYN014.A0101	SYN014.C0101	SYN015.B0101	SYN015.D0101	SYN015.E0101	SYN015.F0101	SYN015.G0101	SYN015.H0101	SYN015.I0101	SYN016.I0101	SYN017.A0101	SYN017.B0101	SYN017.D0101	SYN017.E0101	SYN017.F0101	SYN017.G0101	SYN018.C0101	SYN018.H0101	SYN018.I0101	SYN019.I0101	SYN021.I0101	SYN022.I0101	SYN023.I0101	SYN025.I0101	SYN026.I0101	SYN028.I0101
Staphylococcus cohnii	3654	0	0	6897	0	0	0	0	0	0	0	0	0	0	1471	1617	1733	1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2312	2064	1892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium perfringens	1780	1193	0	0	0	0	5677	14696	0	0	0	1692	0	1152	0	0	0	0	0	4326	1621	1235	3364	1583	2514	1503	4701	2334	1598	1633	0	3036	1079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27267	15976	79724	18838	8842	0	0	0	0	0	0	101306	53673	85284	0	3686	0	0	0	0	45520	52276	0	97891	0	0	11550	14961	21639	58500	16112	43191
Clostridium novyi	1483	1112	0	0	0	0	1291	2971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium sp. NSJ-57	1089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Homo sapiens	6349	5713	5228	0	1184	1046	0	1219	0	1595	4092	4032	2165	2559	52404	53306	59904	59797	11906	8939	6402	3897	6461	7901	6566	11662	7617	10476	8532	16359	10988	27985	12173	31523	3180	16426	7944	6942	6312	26921	96896	3025	18300	17108	33359	13167	20799	15311	9495	15802	48426	20715	9731	7014	10831	35833	16517	48907	9144	8065	25016	4728	139627	55567	58466	22903	20761	29406	28488	27349	22728	27156	23550	27366	20990	18789	29127	24678	29785	27177	27156	26902	23424	15402	22992	26592	18324	34966	29082	26261	26157	23550	28176	26447	35860	27956	31955
Nocardioides sp. CF8	0	2024	1365	2661	7419	4697	0	1792	2814	0	0	0	0	0	2832	2848	3260	3315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas tolaasii	0	0	0	1226	8829	1035	0	0	0	0	0	0	0	0	0	0	0	0	2895	0	0	0	0	0	0	0	0	0	0	0	1626	0	1292	0	19633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polaromonas sp. JS666	0	0	0	0	2537	0	0	1251	0	0	0	0	0	0	1638	1785	1987	1957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polaromonas naphthalenivorans	0	0	0	0	1131	0	0	0	0	0	0	0	0	0	2105	2143	2274	2391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Variovorax paradoxus	0	0	0	0	1016	0	0	0	0	0	0	0	0	0	7516	7544	8458	8705	3105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1231	4367	3066	2982	2594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides sp. WS12	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	1233	1308	1436	1479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudonocardia sp. CGMCC 4.1532	0	0	0	0	1952	0	0	0	0	0	0	0	0	0	2598	2611	2931	2887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8950	8925	7856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudonocardia broussonetiae	0	0	0	0	1310	0	0	0	0	0	0	0	0	0	2334	2397	2922	2802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1228	1194	1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosarchaeum sp. AC2	0	0	0	0	0	1494	0	0	13402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella pneumoniae	0	0	0	0	0	0	49513	0	0	0	0	0	0	8561	616810	641044	702727	717046	19142	0	0	0	0	0	0	1308	0	4918	3688	43874	1381	0	0	0	98379	28936	4233	4305	3957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paeniclostridium sordellii	0	0	0	0	0	0	0	1629	0	0	0	0	0	0	0	0	0	0	0	2294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas brenneri	0	0	0	0	0	0	0	23717	0	0	0	0	0	0	0	0	0	0	1510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas fluorescens	0	0	0	0	0	0	0	1350	0	0	0	0	0	0	16269	16853	18175	18675	68830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453570	18111	8704	8351	7660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas mandelii	0	0	0	0	0	0	0	1069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas frederiksbergensis	0	0	0	0	0	0	0	1864	0	0	0	0	0	0	0	0	0	0	2558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Nitrotoga sp. AM1P	0	0	0	0	0	0	0	1305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodopseudomonas palustris	0	0	0	0	0	0	0	0	1133	0	0	0	0	0	3157	3510	3782	3814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1303	1243	1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudolabrys taiwanensis	0	0	0	0	0	0	0	0	1338	0	0	0	0	0	1122	1139	1182	1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudolabrys sp. FHR47	0	0	0	0	0	0	0	0	1228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodoplanes sp. Z2-YC6860	0	0	0	0	0	0	0	0	1018	0	0	0	0	0	1512	1491	1622	1714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosopumilus ureiphilus	0	0	0	0	0	0	0	0	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Nitrosopumilus sediminis	0	0	0	0	0	0	0	0	1317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosopumilus oxyclinae	0	0	0	0	0	0	0	0	1247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosopumilus cobalaminigenes	0	0	0	0	0	0	0	0	1185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosopumilus adriaticus	0	0	0	0	0	0	0	0	1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosopumilus piranensis	0	0	0	0	0	0	0	0	1087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Nitrosopumilus koreensis	0	0	0	0	0	0	0	0	1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Nitrosomarinus catalina	0	0	0	0	0	0	0	0	1090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides ovatus	0	0	0	0	0	0	0	0	0	10887822	95722	195777	2229287	5994293	0	0	0	0	0	81664	6786	38569	4559	94031	4840	19325	14880	14081	98691	18913	33935	82168	30705	22475	0	2376	0	0	0	0	0	8078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides fragilis	0	0	0	0	0	0	0	0	0	6991339	192484	100169	323140	216475	0	0	0	0	0	16415	9863	90313	10197	56788	7128	11684	6545	5764	4719	17725	21130	25519	27443	10922	0	0	0	0	0	0	2281	1646	0	0	2453	0	0	0	0	0	1755	0	0	0	0	0	0	0	0	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1161	0	1404	0	0	0	0	0	0	0	1824	0	0	0	0	0	0	0	0	0	2502	0	0
Bacteroides thetaiotaomicron	0	0	0	0	0	0	0	0	0	1207326	399046	139953	51290	72188	0	0	0	0	0	38788	6032	100395	3883	32486	12803	26818	25893	20305	71950	24605	45728	65596	70994	23599	0	1575	0	0	0	0	0	2435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides xylanisolvens	0	0	0	0	0	0	0	0	0	934440	120702	95440	633411	676023	0	0	0	0	0	95190	5152	90121	13577	125022	26280	46052	44529	50273	27903	64447	78739	97149	112541	36100	0	1504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. M10	0	0	0	0	0	0	0	0	0	274713	23991	31362	262657	852238	0	0	0	0	0	8029	0	5715	1602	7638	3320	12451	4026	1461	7205	8113	21005	41511	35323	11373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. HF-5141	0	0	0	0	0	0	0	0	0	181702	16779	16824	110809	316563	0	0	0	0	0	8521	1121	9309	1471	7118	0	0	0	0	2632	0	1378	1686	1958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. HF-5287	0	0	0	0	0	0	0	0	0	43993	292402	16294	146882	56214	0	0	0	0	0	13937	6449	52547	3061	10445	7241	11089	12536	8096	3086	10134	13756	23892	29952	10707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. CBA7301	0	0	0	0	0	0	0	0	0	32471	23282	17499	63086	53318	0	0	0	0	0	4634	1324	11336	0	4533	1203	2123	1325	1001	1514	2042	5245	6037	7590	1740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. HF-162	0	0	0	0	0	0	0	0	0	3667	60867	6912	103252	2507	0	0	0	0	0	12573	1843	22287	0	3987	0	1671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. A1C1	0	0	0	0	0	0	0	0	0	3137	61259	13803	135399	6718	0	0	0	0	0	15715	3076	25787	0	7179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. CACC 737	0	0	0	0	0	0	0	0	0	2511	44732	23200	145747	12784	0	0	0	0	0	11928	2165	18328	0	4422	0	1562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides caecimuris	0	0	0	0	0	0	0	0	0	68701	53045	8390	75080	120050	0	0	0	0	0	8376	1112	13833	0	5733	0	1692	1242	0	1581	1942	6799	3834	3641	1289	0	0	0	0	0	0	1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides intestinalis	0	0	0	0	0	0	0	0	0	62840	112192	93239	93877	69419	0	0	0	0	0	7928	2305	10801	0	9996	0	3785	1461	0	0	4208	4245	4350	4186	1303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1298	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides uniformis	0	0	0	0	0	0	0	0	0	21801	1066874	710071	2904795	22193	0	0	0	0	0	240472	37824	498059	9332	17619	11268	31116	22094	43501	26814	13684	29770	27265	40479	9745	0	10364	0	0	0	0	0	1909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1277	1038	1268	0	0	0	0	0	0	0	1565	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides caccae	0	0	0	0	0	0	0	0	0	14671	85990	472931	1560513	2312958	0	0	0	0	0	123853	3273	293242	2603	75182	0	2355	1015	0	27182	2082	3758	4622	4750	1519	0	2269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides helcogenes	0	0	0	0	0	0	0	0	0	13084	29394	30303	12515	5080	0	0	0	0	0	6613	3921	17172	0	8501	1091	4958	1269	0	0	2576	4272	6973	5289	1858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1186	0	0	0	0	0	0	0	2096	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides eggerthii	0	0	0	0	0	0	0	0	0	12330	634416	303297	24133	27210	0	0	0	0	0	62291	89782	150106	0	73802	10132	3185	1385	0	17483	2496	5422	7856	4883	1813	0	1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1067	0	0	0	0	0	0	0	2038	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides cellulosilyticus	0	0	0	0	0	0	0	0	0	3200	175896	23809	981607	601001	0	0	0	0	0	28713	5833	13795	0	6971	1501	3377	2898	1674	1071	3929	6780	10655	8226	3218	0	9680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides heparinolyticus	0	0	0	0	0	0	0	0	0	1331	16007	17755	17715	1067	0	0	0	0	0	3763	2099	9893	0	4607	3002	4743	1117	0	0	2560	5655	8351	6145	1954	0	0	0	0	0	0	1740	0	0	0	2231	1322	0	0	0	0	2439	1171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1881	1184	2442	0	0	0	0	0	0	1778	3878	1112	0	0	0	0	0	0	1266	0	1539	0	0
Bacteroides zoogleoformans	0	0	0	0	0	0	0	0	0	1257	18561	15456	16080	1774	0	0	0	0	0	2839	1699	7612	0	3493	1859	4739	2101	1453	1101	3756	8455	10859	9163	2819	0	0	0	0	0	0	3259	0	0	0	10027	0	0	0	0	0	5209	0	0	0	0	1451	0	0	0	1828	1023	0	0	0	0	0	0	0	0	0	0	0	0	1308	2176	1195	2972	0	0	1353	0	0	0	1849	4585	1438	0	0	0	0	0	0	1304	0	2969	0	0
Phocaeicola dorei	0	0	0	0	0	0	0	0	0	4491166	341228	1287788	448060	1657941	0	0	0	0	0	21450	6402	631029	2835	26630	15232	36032	29328	18283	13666	22245	34637	65726	38431	26833	0	4704	0	0	0	1948	0	8645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola vulgatus	0	0	0	0	0	0	0	0	0	251100	2157719	790475	3102475	6304332	7271	7271	7939	8104	0	335436	47097	719041	21859	324194	102211	11851	12508	13335	6628	16429	17613	36832	53357	11108	0	10281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola salanitronis	0	0	0	0	0	0	0	0	0	8505	37613	8982	29268	10158	0	0	0	0	0	2781	1146	4240	0	3028	2251	4450	3640	3390	1271	11188	11294	18145	14714	6520	0	0	0	0	0	0	1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1208	0	1719	0	0	0	0	0	0	1334	3140	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola coprophilus	0	0	0	0	0	0	0	0	0	6905	29859	30057	52113	4698	0	0	0	0	0	1817	0	3126	0	2611	5403	17674	9224	8100	3516	15723	15160	29809	142811	11978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1462	0	0	0	0	0	0	1023	2475	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes onderdonkii	0	0	0	0	0	0	0	0	0	560737	2178367	1249345	402494	207804	0	0	0	0	0	18653	4116	220436	11416	15970	0	0	0	0	0	1785	3647	3670	5657	1140	0	2340	0	0	0	0	0	2560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes communis	0	0	0	0	0	0	0	0	0	13516	303415	118019	69640	46844	0	0	0	0	0	12644	2169	51727	0	58885	0	0	0	0	0	2542	4481	4809	3779	1456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1874	1433	1813	0	0	0	0	0	0	0	2186	0	0	0	0	0	0	0	0	0	0	0	0
