species	Oxygen tolerance	abs
Streptomyces viridosporus	aerobe	FALSE
Streptomyces xinghaiensis	aerobe	FALSE
Streptosporangium roseum	aerobe	FALSE
Succinivibrio dextrinosolvens	anaerobe	FALSE
Sulfuricella denitrificans	facultative anaerobe	FALSE
Sulfuriflexus mobilis	anaerobe	FALSE
Sulfurifustis variabilis	facultative anaerobe	FALSE
Sulfuritalea hydrogenivorans	anaerobe	FALSE
Sutterella megalosphaeroides	anaerobe	FALSE
Symmachiella dynata	aerobe	FALSE
Syntrophobotulus glycolicus	anaerobe	FALSE
Syntrophotalea acetylenica	anaerobe	FALSE
Syntrophus aciditrophicus	anaerobe	FALSE
Tannerella forsythia	anaerobe	FALSE
Tepidanaerobacter acetatoxydans	anaerobe	FALSE
Terriglobus saanensis	aerobe	FALSE
Tessaracoccus aquimaris	aerobe	FALSE
Tessaracoccus flavescens	aerobe	FALSE
Tessaracoccus flavus	facultative anaerobe	FALSE
Thauera aromatica	aerobe	FALSE
Thauera chlorobenzoica	aerobe	FALSE
Thauera humireducens	facultative anaerobe	FALSE
Thermacetogenium phaeum	anaerobe	FALSE
Thermaerobacter marianensis	aerobe	FALSE
Thermoanaerobacterium aotearoense	anaerobe	FALSE
Thermoanaerobacterium thermosaccharolyticum	anaerobe	FALSE
Thermoanaerobacterium xylanolyticum	anaerobe	FALSE
Thermobacillus composti	aerobe	FALSE
Thermochromatium tepidum	anaerobe	FALSE
Thioalkalivibrio sulfidiphilus	aerobe	FALSE
Thioclava nitratireducens	aerobe	FALSE
Thiospirochaeta perfilievii	anaerobe	FALSE
Treponema azotonutricium	anaerobe	FALSE
Treponema brennaborense	anaerobe	FALSE
Treponema caldarium	anaerobe	FALSE
Treponema denticola	anaerobe	FALSE
Treponema parvum	anaerobe	FALSE
Treponema pedis	anaerobe	FALSE
Treponema putidum	anaerobe	FALSE
Treponema ruminis	anaerobe	FALSE
Treponema succinifaciens	anaerobe	FALSE
Trueperella bialowiezensis	aerobe	FALSE
Trueperella pyogenes	anaerobe	FALSE
Tsukamurella paurometabola	aerobe	FALSE
Tsukamurella tyrosinosolvens	aerobe	FALSE
Tsuneonella mangrovi	facultative anaerobe	FALSE
Tumebacillus avium	facultative anaerobe	FALSE
Tuwongella immobilis	aerobe	FALSE
Variibacter gotjawalensis	aerobe	FALSE
Variovorax boronicumulans	aerobe	FALSE
Variovorax paradoxus	aerobe	FALSE
Veillonella atypica	anaerobe	FALSE
Veillonella dispar	anaerobe	FALSE
Veillonella parvula	anaerobe	FALSE
Vespertiliibacter pulmonis	aerobe	FALSE
Vibrio fluvialis	aerobe	FALSE
Virgibacillus phasianinus	aerobe	FALSE
Woeseia oceani	facultative anaerobe	FALSE
Xanthomonas fragariae	aerobe	FALSE
Xylophilus rhododendri	aerobe	FALSE
Zobellia galactanivorans	aerobe	FALSE
Zymomonas mobilis	anaerobe	FALSE
