count	species	sample
1	Schaalia odontolytica	LIB030.A0117
41	Rothia aeria	LIB030.A0117
13	Rothia dentocariosa	LIB030.A0117
3	Dermacoccus nishinomiyaensis	LIB030.A0117
1	Microbacterium sp. RG1	LIB030.A0117
18	Corynebacterium matruchotii	LIB030.A0117
1	Corynebacterium tuberculostearicum	LIB030.A0117
1	Corynebacterium kutscheri	LIB030.A0117
1	Nocardia brasiliensis	LIB030.A0117
1	Rhodococcus sp. PBTS 1	LIB030.A0117
14	Cutibacterium acnes	LIB030.A0117
2	Pseudopropionibacterium propionicum	LIB030.A0117
1	Frankia inefficax	LIB030.A0117
15	Streptococcus sanguinis	LIB030.A0117
7	Streptococcus oralis	LIB030.A0117
2	Streptococcus cristatus	LIB030.A0117
1	Streptococcus gordonii	LIB030.A0117
1	Streptococcus mitis	LIB030.A0117
1	Streptococcus parauberis	LIB030.A0117
1	Streptococcus intermedius	LIB030.A0117
1	Lactococcus cremoris	LIB030.A0117
3	Abiotrophia defectiva	LIB030.A0117
1	Marinilactibacillus sp. 15R	LIB030.A0117
2	Gemella morbillorum	LIB030.A0117
1	Staphylococcus epidermidis	LIB030.A0117
2	Veillonella parvula	LIB030.A0117
1	Clostridium botulinum	LIB030.A0117
1	Capnocytophaga gingivalis	LIB030.A0117
1	Capnocytophaga sputigena	LIB030.A0117
1	Flavobacterium commune	LIB030.A0117
1	Chryseobacterium glaciei	LIB030.A0117
1	Prevotella oris	LIB030.A0117
1	Leptotrichia sp. oral taxon 212	LIB030.A0117
1	Leptotrichia sp. oral taxon 498	LIB030.A0117
157	Homo sapiens	LIB030.A0117
