sample	shannon	simp_inv	simp_unb
SRR1761688	2.7251440298189378	8.131672859340581	8.131690354198971
SRR1761692	3.0343623881981006	9.179429696755975	9.179516694655849
SRR1761697	2.8229726777335693	7.27723519628889	7.2772525679791125
SRR1761698	1.6159469178663781	2.5380093829798427	2.5380103321432594
SRR1761705	1.869965913354425	3.363708049698074	3.3637096702881357
SRR1761710	1.9036568565417813	2.9044300248238275	2.90443180173417
SRR1761718	0.9946911657587333	1.353618109220063	1.3536182403077814
SRR1761721	1.5907344600065227	1.8372925970912297	1.8372933704434309
SRR1929408	1.434103463067411	1.9796712989524072	1.9796715661322484
SRR1930121	2.366710575618625	3.053556574392969	3.053558248361666
SRR1930123	1.9154507143115769	2.1638619275553976	2.1638623564673827
SRR1930141	1.772231600300724	1.9837557796011975	1.9837561159413046
SRR1930145	1.714157857966496	2.1477322955116014	2.1477333018526603
SRR3184100	2.4971171691720953	3.1491828544282896	3.149183838996311
SRR3184876	0.7292111708985872	1.2490517286011351	1.2490517412536895
SRR3189411	0.9880099297159199	1.340107430090046	1.3401074647203062
SRR3189416	0.98454950030287125	1.3370600562510138	1.337060093053551
SRR3189418	0.9816737692761136	1.335362955704012	1.3353629957822442
SRR5975923	1.5683572052766825	2.6491835080255495	2.64918489373445
SRR5975924	1.584421956550519	2.6890027013987248	2.68900394986073
SRR5975925	1.5706862109655653	2.658289483503334	2.6582908591128658
SRR5975926	1.6166966898512853	2.797416972717164	2.7974186061377364
SRR5975927	1.6964971292265174	3.066688527002494	3.066690854898408
SRR5975928	1.6474732164913715	2.865507025409721	2.865508531763473
SRR5975929	1.5677038353978365	2.6461856185763093	2.646186903538782
SRR5975930	1.624236922492698	2.8185121480940234	2.8185131170377002
SRR5975931	1.7584426374898796	3.3436218801716904	3.343624603330919
SRR5975932	1.6967289438291167	3.0525081931868	3.0525100199357564
SRR5975933	1.6072117116112685	2.7523445596091114	2.7523462581908253
SRR5975934	1.6042285841042117	2.740878185192724	2.7408793173021575
SRR5975936	1.9157008926036656	4.738056408565159	4.738080232398375
SRR5975937	2.1936465105142813	6.541091284553905	6.541133640821889
SRR6129806	1.8566329544247064	2.1992520571743857	2.199253909368621
SRR6129807	2.4002744275944936	3.2940559951041037	3.2940620584222517
SRR6129808	2.185496473745757	2.7268896762847232	2.726894117596031
SRR6129809	2.5275847861593443	3.492851660901879	3.492854633198284
SRR6129810	2.426211358593766	4.497838891485101	4.497849054969833
SRR6129811	2.229824198771506	3.3563856456592007	3.356387536962765
SRS011247	2.270459500031057	4.24176233686348	4.241763772901846
SRS011310	2.1693658414459116	4.208074223059007	4.208075694652866
SRS012281	2.6851283102735666	6.154845106280029	6.154931347270486
SRS013711	3.444966233993371	15.567408937965418	15.56750110515559
SRS013942	3.0460669029925356	7.413255978823692	7.413276438272148
SRS013950	3.677709494815165	19.36609949876481	19.366144707993765
SRS014107	3.6055570412354854	15.58135175305103	15.581439211386083
SRS014468	3.464497777806076	11.423089691459523	11.423293585187515
SRS014477	3.7726268160595837	23.298534057503293	23.298725479499705
SRS014691	3.5004571093255197	15.712249707755166	15.712277045205926
SRS014692	2.996581864161723	9.926652739801659	9.9266752592272
SRS015055	3.6802187386483034	22.337559739207656	22.33787924607259
SRS015064	3.072159979044689	10.419771069621754	10.419781802238269
SRS015378	2.458195322459723	6.485147794749899	6.485151016235763
SRS015755	3.455276091224582	17.7461489561872	17.746182274513096
SRS019029	3.7285545620176417	19.744627158496833	19.744669613690974
SRS019120	3.476106956575465	14.50893682260408	14.50901967466239
SRS019129	3.632013454497507	18.66598077356222	18.666033066788067
SRS019333	2.9497755164897366	11.192774092847015	11.192787057929399
SRS021960	3.139660566916096	10.17561547109303	10.175625057035797
SRS022149	3.5737738926845033	14.744399899331315	14.744426198867435
SRS023591	3.1278886033661597	7.333218784627626	7.333265861863012
SRS045313	2.771381051516116	7.005537008939191	7.005543916819855
SRS047265	3.0260145021988185	9.84265351069739	9.842667703935856
SRS051378	3.391211386197098	15.996827634907723	15.996855053727154
SRS052604	3.2062240682920957	9.566262098849082	9.566274480596272
SRS052668	2.8503792173238254	7.6475534441904385	7.647561927559443
SRS056892	2.4838417222655864	6.212050022247708	6.21205309344746
SRS058105	2.171837322550657	5.580044447336695	5.580046950279539
SRS063215	3.285692557062432	9.608450534814333	9.6084595872431109
SRS063478	3.2853262930639078	10.013472632897262	10.013568899619456
SRS064493	2.457869952972573	5.541781014464356	5.541785896275008
SRS075406	2.869068897103519	7.969165878409555	7.9691812468973025
SYN001.A0101	2.12116236093048	2.9180047677777727	2.9180057751415904
SYN002.A0101	2.345341426333225	3.949060482745119	3.9490621239744303
SYN003.A0101	3.0267063194592825	8.52411474029659	8.524125838892164
SYN005.I0101	2.03733610313779	4.458718825508219	4.458721660358787
SYN006.I0101	1.519229965615591	3.0041661922767555	3.004167187973389
SYN008.I0101	1.844996599490997	4.8468437712170065	4.846847586533297
SYN009.I0101	1.9774171577459816	3.787185220612436	3.787187199749211
SYN012.I0101	1.864777606500314	3.3347842814209083	3.3347855621949205
SYN014.A0101	0.830776643952913	1.409592444785762	1.4095924997141112
SYN014.C0101	0.6486674932862342	1.290200080043058	1.2902001249910116
SYN015.B0101	1.9411232016920565	3.62337144904601	3.6233726111811175
SYN015.D0101	1.9458903126663292	4.162875760371283	4.162878977415943
SYN015.E0101	2.249922742451565	5.497979427406819	5.497989503684911
SYN015.I0101	1.9017653640395284	3.6127746886413132	3.6127763640239263
SYN017.A0101	2.405293975824144	6.996710857291238	6.996716431175732
SYN017.B0101	1.9737538861370976	4.154477273391639	4.154479132283377
SYN017.D0101	1.3413511335934705	1.8426775918434655	1.842678078541741
SYN017.E0101	1.6466129592928325	2.483499170963151	2.483499881279558
SYN018.C0101	2.454673547205935	7.0688542771672145	7.068860777532096
SYN018.I0101	1.7524067974406867	3.675092239077038	3.675093867768171
SYN019.I0101	2.1359013859702203	5.191196636526643	5.191200070986016
SYN021.I0101	1.2310712280265137	2.243328862280817	2.2433292342033937
SYN022.I0101	1.8986143662794506	3.7205216090338062	3.7205229928110373
SYN023.I0101	2.2291522641812533	4.194457077581049	4.194459556569627
SYN025.I0101	2.050117600581367	4.051752749725015	4.051754262914784
SYN026.I0101	1.6206194737933517	2.864705208573998	2.8647058543871946
SYN028.I0101	1.9469403901865519	2.9402803580691037	2.9402810461212265
