sample	shannon	simp_inv	simp_unb
ERR1883419	5.1524458539964	22.17169348168865	22.25523621805062
ERR1883420	5.522335852625155	33.849071506166524	34.026433734184664
ERR1883421	6.05877961780675	194.71220353969682	205.48792601065014
ERR1883422	5.098183895167742	31.395528341530746	31.562314367029735
ERR1883423	5.600689644904861	99.37157398298892	99.66310857339685
ERR1883424	6.121393604189483	183.92540410403893	187.80237333702868
ERR1883430	6.147025744781236	226.34899643154847	231.6591541138821
ERR1883436	5.888493249688931	107.23432986507142	107.64011683175224
ERR1883438	6.2668516425834255	321.6779277439487	325.99379798413486
JAE006.A0101	2.856914794726066	9.933928904757462	9.933930559896218
JAE007.A0101	2.958071262979742	11.624014084442559	11.624017165500614
JAE008.A0101	3.139568514067054	7.663699990110294	7.663701687897928
JAE009.A0101	3.28031033579079	12.297101133403322	12.2971056133759
JAE010.A0101	3.3565820797121835	18.166291230108627	18.16630165594158
JAE012.A0101	3.0108369115233824	8.897654007758462	8.897656074920231
JAE013.A0101	3.387010258651398	17.641394276837275	17.641408308849396
JAE014.A0101	3.604602494337221	14.688200483853203	14.688209084237354
JAE015.A0101	2.8770469898990516	7.700769884297172	7.700772299911639
JAE016.A0101	2.9325156419083727	8.419040670570446	8.419042776840453
SRR059389	1.355506741315061	2.7325225174619794	2.7325227369783187
SRR059425	2.6870100620262063	8.053280391832821	8.05328623747998
SRR059455	2.438864048712287	7.399933836910581	7.399938626456177
SRR059917	2.228103432248717	5.846685830954113	5.846688185393809
SRR060358	1.4733488020758887	2.9384776487871753	2.9384780281288156
SRR1631060	2.4136238238524563	2.412982622419243	2.412983102712546
SRR1631061	2.4114513664900015	2.410721160434722	2.4107216268541434
SRR1631063	2.4238577716538026	2.4221684045768557	2.422168834441134
SRR1631064	2.428260684534539	2.427351146468271	2.427351576484406
SRR1633008	2.7061284255826425	3.585411147492136	3.585413093784749
SRR1761677	2.801430824292853	7.924563045199248	7.92458441940391
SRR1761682	3.254383026760297	13.606633630630999	13.606904702504538
