#OTU ID	ERR1883419	ERR1883420	ERR1883421	ERR1883422	ERR1883423	ERR1883424	ERR1883430	ERR1883436	ERR1883438	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE010.A0101	JAE012.A0101	JAE013.A0101	JAE014.A0101	JAE015.A0101	JAE016.A0101	SRR059389	SRR059425	SRR059455	SRR059917	SRR060358	SRR1631060	SRR1631061	SRR1631063	SRR1631064	SRR1633008	SRR1761677	SRR1761682	SRR1761688	SRR1761692	SRR1761697	SRR1761698	SRR1761705	SRR1761710	SRR1761718	SRR1761721	SRR1929408	SRR1930121	SRR1930123	SRR1930141	SRR1930145	SRR3184100	SRR3184876	SRR3189411	SRR3189416	SRR3189418	SRR5975923	SRR5975924	SRR5975925	SRR5975926	SRR5975927	SRR5975928	SRR5975929	SRR5975930	SRR5975931	SRR5975932	SRR5975933	SRR5975934	SRR5975936	SRR5975937	SRR6129806	SRR6129807	SRR6129808	SRR6129809	SRR6129810	SRR6129811	SRS011247	SRS011310	SRS012281	SRS013711	SRS013942	SRS013950	SRS014107	SRS014468	SRS014477	SRS014691	SRS014692	SRS015055	SRS015064	SRS015378	SRS015755	SRS019029	SRS019120	SRS019129	SRS019333	SRS021960	SRS022149	SRS023591	SRS045313	SRS047265	SRS051378	SRS052604	SRS052668	SRS056892	SRS058105	SRS063215	SRS063478	SRS064493	SRS075406	SYN001.A0101	SYN002.A0101	SYN003.A0101	SYN005.I0101	SYN006.I0101	SYN008.I0101	SYN009.I0101	SYN012.I0101	SYN014.A0101	SYN014.C0101	SYN015.B0101	SYN015.D0101	SYN015.E0101	SYN015.I0101	SYN017.A0101	SYN017.B0101	SYN017.D0101	SYN017.E0101	SYN018.C0101	SYN018.I0101	SYN019.I0101	SYN021.I0101	SYN022.I0101	SYN023.I0101	SYN025.I0101	SYN026.I0101	SYN028.I0101
Neisseria subflava	0	0	0	0	1	1	0	0	2	120788	130175	51795	28430	26531	14989	96910	14623	8922	1370	0	0	0	0	0	12513	12805	14258	13928	2941	0	0	0	0	0	167	0	0	0	0	1061	167	0	246	75	8173	26041	9733	9084	8098	0	0	0	0	0	0	0	0	0	0	0	0	85	155	4016	1312	4322	4428	566	3771	65574	928	1962	17541	57453	4690	1526	19445	1409	0	0	15668	12627	6563	33362	770	88334	29959	11277	2618	7116	1688	732	9520	15563	9143	625716	8269	24548	2175	22747	13801	23376	58277	26355	106466	216	0	1442	1243	182	2510	241	3230	0	83	325	55297	5855	0	0	3515	0	204	393	0	333	200	711	152
Neisseria canis	0	0	0	0	1	0	1	0	0	5075	5123	1565	1227	1477	880	3588	653	280	0	0	0	0	0	0	2005	2055	2286	2394	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	249	144	47	27	150	0	0	74	715	191	699	0	269	675	487	209	95	36	86	192	351	257	394	0	0	212	40	172	134	137	132	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria mucosa	0	0	0	0	1	1	1	0	3	2789825	3524567	346059	141265	195503	39120	2177347	61037	29874	6244	0	0	0	0	0	10296	10560	11601	11612	6531	0	0	0	0	0	0	67	0	0	69	1341	123	0	112	67	15114	14716	6366	5733	5425	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	48458	600	3219	7785	40431	22964	5339	11322	6695	154	57	20465	111634	46608	103571	746	47733	77781	58517	6122	18601	4176	5641	98241	58421	25734	95685	13015	26446	3640	9988	52431	40210	50407	27983	100382	0	0	0	663	109	1133	100	1492	0	0	111	23796	2949	0	0	1714	0	129	0	0	0	159	0	0
Neisseria flavescens	0	0	0	0	1	1	0	2	0	29330	32260	14514	12416	6714	3356	21980	5100	3257	0	0	0	0	0	0	3112	3152	3482	3422	750	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	2041	6935	2792	2510	2338	79	73	60	53	52	54	48	119	46	57	43	66	26	51	1596	3118	4428	20995	1937	6795	14921	266	493	4081	14326	951	354	4784	461	0	89	4017	3821	1642	9630	143	22761	8151	3146	1100	1963	464	333	2279	5101	2286	34785	2158	6361	552	7145	3735	6737	12991	5888	23325	0	0	401	320	0	528	0	708	0	28	0	11690	1244	0	0	809	0	0	0	0	0	0	221	0
Conchiformibius steedae	0	0	0	0	2	2	1	0	0	1653	1995	458	596	1463	876	1423	583	0	0	0	0	0	0	0	51871	53476	58995	59101	1709	0	0	0	0	0	0	235	0	0	0	0	0	123	143	0	632	655	910	852	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	253	255	261	0	0	0	0	43	113	0	19	141	0	0	0	309	0	342	0	59	162	117	257	87	0	0	164	433	101	0	0	0	477	12	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas extremorientalis	0	0	0	0	2	0	1	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	236	240	248	2097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8653	396	156	143	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. R84	0	0	0	0	7	1	0	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	360	409	450	3464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13870	0	243	258	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. CMR5c	0	0	0	0	1	2	3	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	261	281	282	1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. URMO17WK12:I11	0	0	0	0	1	0	3	45	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	239	258	305	1341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17425	0	499	499	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas sp. B10	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	417	423	445	3124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80218	451	173	170	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas luteola	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	484	509	529	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1277	1155	154	142	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas cichorii	0	0	0	0	8	3	4	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	178	205	209	1584	0	0	0	0	147	0	0	0	0	97	0	0	0	0	0	18872	0	200	184	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas moraviensis	0	0	0	0	5	1	4	12	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	879	941	986	4364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133591	1121	430	393	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
